centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
KF527996.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. CS-P/F04,Not Available,ITS region*,548,"Aspergillus sp. CS-P/F04 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KJ123901.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,N3802,cmd/calmodulin,620,"Aspergillus tubingensis isolate N3802 calmodulin (cmd) gene, partial cds",1,,Isolated from honey bee hive.
KJ123921.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus versicolor,LS3008,ITS region*,571,"Aspergillus versicolor strain LS3008 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",4,"KJ123919.1: Aspergillus versicolor, KJ123926.1: Aspergillus versicolor, KJ123932.1: Aspergillus versicolor",Isolated from honey bee larva.
KJ123949.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium commune,N3817,ITS region*,530,"Penicillium commune strain N3817 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee gut.
KJ123946.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium crustosum,L7,ITS region*,374,"Penicillium crustosum strain L7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee larva.
KJ123941.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium glabrum,G11,ITS region*,372,"Penicillium glabrum strain G11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee gut.
KJ123945.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium ilerdanum,L4,ITS region*,432,"Penicillium ilerdanum strain L4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",2,KJ123948.1: Penicillium ilerdanum,Isolated from honey bee larva.
KF527999.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp. CS-P/F08,Not Available,ITS region*,516,"Eupenicillium sp. CS-P/F08 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KF528000.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp. CS-P/F09,Not Available,ITS region*,540,"Eupenicillium sp. CS-P/F09 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KF528001.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp. CS-P/F11,Not Available,ITS region*,550,"Eupenicillium sp. CS-P/F11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KF528004.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium sp. CS-P/F14,Not Available,ITS region*,545,"Penicillium sp. CS-P/F14 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KJ123950.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium spinulosum,LL3011,ITS region*,505,"Penicillium spinulosum strain LL3011 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee larva.
FJ172292.2,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ascosphaeraceae,Ascosphaera,Ascosphaera apis,ATCC MYA-4450,ITS region*,599,"Ascosphaera apis strain ATCC MYA-4450 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",12,"GQ867764.1: Ascosphaera apis, GQ867766.1: Ascosphaera apis, KJ158165.1: Ascosphaera apis, KM242589.1: Ascosphaera apis, KM242590.1: Ascosphaera apis, KM242591.1: Ascosphaera apis, KM242592.1: Ascosphaera apis, KT373973.1: Ascosphaera apis, KT373974.1: Ascosphaera apis, KT373975.1: Ascosphaera apis, U68313.1: Ascosphaera apis",none
KJ123947.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ascosphaeraceae,Ascosphaera,Ascosphaera apis,L9,ITS region*,396,"Ascosphaera apis strain L9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee larva.
EU569326.1,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea,Kodamaea ohmeri,Not Available,ITS region*,369,"Kodamaea ohmeri clone AL-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Associated with small hive beetle (Aethina tumida).
AY911385.1,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea,Kodamaea sp. NRRL Y27634,Not Available,ITS region*,377,"Kodamaea sp. NRRL Y27634 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Associated with small hive beetle (Aethina tumida).
KR233472.1,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,undetermined,Starmerella,Starmerella sp. HSB-15,HSB-15,ITS region*,1059,"Starmerella sp. HSB-15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee surface.
JQ866687.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,NBAII Ma-41,ITS region*,436,"Metarhizium anisopliae isolate NBAII Ma-41 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee larvae.
KJ123944.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum,L3,ITS region*,425,"Fusarium oxysporum strain L3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee larva.
KF528002.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp. CS-P/F12,Not Available,ITS region*,523,"Fusarium sp. CS-P/F12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KF528003.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp. CS-P/F13,Not Available,ITS region*,517,"Fusarium sp. CS-P/F13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KJ123938.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium tricinctum,4H,ITS region*,485,"Fusarium tricinctum strain 4H internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",2,KJ123943.1: Fusarium sp. L2,Isolated from soil outside of honey bee hive.
KJ123942.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,G13,ITS region*,308,"Purpureocillium lilacinum strain G13 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee gut.
KF528005.1,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,Pestalotiopsis sp. CS-P/F15,Not Available,ITS region*,569,"Pestalotiopsis sp. CS-P/F15 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KJ473163.1,Eukaryota,Fungi,Microsporidia,undetermined,undetermined,Nosematidae,Nosema,Nosema apis,529,RPB1/RNA polymerase II largest subunit,996,"Nosema apis isolate 529 clone 4 RNA polymerase II largest subunit (RPB1) gene, partial cds",14,"KJ473131.1: Nosema apis, KJ473145.1: Nosema apis, KJ473162.1: Nosema apis, KJ473179.1: Nosema apis, KJ473180.1: Nosema apis, KJ473183.1: Nosema apis, KJ473184.1: Nosema apis, KJ473190.1: Nosema apis, KJ473204.1: Nosema apis, KJ473208.1: Nosema apis, KJ473212.1: Nosema apis, KJ473215.1: Nosema apis, KJ473217.1: Nosema apis",none
JX213663.1,Eukaryota,Fungi,Microsporidia,undetermined,undetermined,Nosematidae,Nosema,Nosema apis,Na1,RPB1/RNA polymerase II largest subunit,1510,"Nosema apis isolate Na1 RNA polymerase II largest subunit (RPB1) gene, partial cds",85,"JX213665.1: Nosema apis, JX213666.1: Nosema apis, JX213668.1: Nosema apis, JX213669.1: Nosema apis, JX213670.1: Nosema apis, KJ473046.1: Nosema apis, KJ473049.1: Nosema apis, KJ473050.1: Nosema apis, KJ473053.1: Nosema apis, KJ473054.1: Nosema apis, KJ473056.1: Nosema apis, KJ473057.1: Nosema apis, KJ473058.1: Nosema apis, KJ473062.1: Nosema apis, KJ473063.1: Nosema apis, KJ473064.1: Nosema apis, KJ473066.1: Nosema apis, KJ473067.1: Nosema apis, KJ473072.1: Nosema apis, KJ473084.1: Nosema apis, KJ473085.1: Nosema apis, KJ473093.1: Nosema apis, KJ473094.1: Nosema apis, KJ473097.1: Nosema apis, KJ473099.1: Nosema apis, KJ473101.1: Nosema apis, KJ473102.1: Nosema apis, KJ473109.1: Nosema apis, KJ473110.1: Nosema apis, KJ473113.1: Nosema apis, KJ473115.1: Nosema apis, KJ473126.1: Nosema apis, KJ473134.1: Nosema apis, KJ473137.1: Nosema apis, KJ473138.1: Nosema apis, KJ473141.1: Nosema apis, KJ473146.1: Nosema apis, KJ473157.1: Nosema apis, KJ473158.1: Nosema apis, KJ473159.1: Nosema apis, KJ473160.1: Nosema apis, KJ473161.1: Nosema apis, KJ473165.1: Nosema apis, KJ473166.1: Nosema apis, KJ473167.1: Nosema apis, KJ473168.1: Nosema apis, KJ473169.1: Nosema apis, KJ473170.1: Nosema apis, KJ473171.1: Nosema apis, KJ473174.1: Nosema apis, KJ473175.1: Nosema apis, KJ473176.1: Nosema apis, KJ473178.1: Nosema apis, KJ473185.1: Nosema apis, KJ473186.1: Nosema apis, KJ473187.1: Nosema apis, KJ473188.1: Nosema apis, KJ473191.1: Nosema apis, KJ473192.1: Nosema apis, KJ473194.1: Nosema apis, KJ473195.1: Nosema apis, KJ473196.1: Nosema apis, KJ473197.1: Nosema apis, KJ473202.1: Nosema apis, KJ473205.1: Nosema apis, KJ473206.1: Nosema apis, KJ473210.1: Nosema apis, KJ473211.1: Nosema apis, KJ473213.1: Nosema apis, KJ473214.1: Nosema apis, KJ473216.1: Nosema apis, KJ473218.1: Nosema apis, KJ473219.1: Nosema apis, KJ473220.1: Nosema apis, KJ473221.1: Nosema apis, KJ473222.1: Nosema apis, KJ473223.1: Nosema apis, KJ473224.1: Nosema apis, KJ473225.1: Nosema apis, KJ473226.1: Nosema apis, KJ473227.1: Nosema apis, KJ473229.1: Nosema apis, KJ473230.1: Nosema apis, KJ473231.1: Nosema apis",none
KJ473285.1,Eukaryota,Fungi,Microsporidia,undetermined,undetermined,Nosematidae,Nosema,Nosema ceranae,1610,RPB1/RNA polymerase II largest subunit*,1057,"Nosema ceranae isolate 1610 clone 9 RNA polymerase II small subunit (RPB1) gene, partial cds",99,"KJ473244.1: Nosema ceranae, KJ473273.1: Nosema ceranae, KJ473275.1: Nosema ceranae, KJ473276.1: Nosema ceranae, KJ473278.1: Nosema ceranae, KJ473279.1: Nosema ceranae, KJ473280.1: Nosema ceranae, KJ473281.1: Nosema ceranae, KJ473282.1: Nosema ceranae, KJ473287.1: Nosema ceranae, KJ473288.1: Nosema ceranae, KJ473289.1: Nosema ceranae, KJ473290.1: Nosema ceranae, KJ473291.1: Nosema ceranae, KJ473293.1: Nosema ceranae, KJ473294.1: Nosema ceranae, KJ473296.1: Nosema ceranae, KJ473297.1: Nosema ceranae, KJ473298.1: Nosema ceranae, KJ473299.1: Nosema ceranae, KJ473300.1: Nosema ceranae, KJ473301.1: Nosema ceranae, KJ473302.1: Nosema ceranae, KJ473303.1: Nosema ceranae, KJ473305.1: Nosema ceranae, KJ473307.1: Nosema ceranae, KJ473308.1: Nosema ceranae, KJ473309.1: Nosema ceranae, KJ473310.1: Nosema ceranae, KJ473312.1: Nosema ceranae, KJ473313.1: Nosema ceranae, KJ473314.1: Nosema ceranae, KJ473315.1: Nosema ceranae, KJ473316.1: Nosema ceranae, KJ473317.1: Nosema ceranae, KJ473318.1: Nosema ceranae, KJ473320.1: Nosema ceranae, KJ473322.1: Nosema ceranae, KJ473323.1: Nosema ceranae, KJ473325.1: Nosema ceranae, KJ473326.1: Nosema ceranae, KJ473328.1: Nosema ceranae, KJ473331.1: Nosema ceranae, KJ473334.1: Nosema ceranae, KJ473335.1: Nosema ceranae, KJ473336.1: Nosema ceranae, KJ473338.1: Nosema ceranae, KJ473339.1: Nosema ceranae, KJ473340.1: Nosema ceranae, KJ473341.1: Nosema ceranae, KJ473342.1: Nosema ceranae, KJ473343.1: Nosema ceranae, KJ473345.1: Nosema ceranae, KJ473346.1: Nosema ceranae, KJ473348.1: Nosema ceranae, KJ473350.1: Nosema ceranae, KJ473351.1: Nosema ceranae, KJ473352.1: Nosema ceranae, KJ473354.1: Nosema ceranae, KJ473355.1: Nosema ceranae, KJ473357.1: Nosema ceranae, KJ473358.1: Nosema ceranae, KJ473359.1: Nosema ceranae, KJ473360.1: Nosema ceranae, KJ473361.1: Nosema ceranae, KJ473364.1: Nosema ceranae, KJ473366.1: Nosema ceranae, KJ473367.1: Nosema ceranae, KJ473371.1: Nosema ceranae, KJ473373.1: Nosema ceranae, KJ473374.1: Nosema ceranae, KJ473375.1: Nosema ceranae, KJ473377.1: Nosema ceranae, KJ473378.1: Nosema ceranae, KJ473379.1: Nosema ceranae, KJ473380.1: Nosema ceranae, KJ473381.1: Nosema ceranae, KJ473382.1: Nosema ceranae, KJ473383.1: Nosema ceranae, KJ473384.1: Nosema ceranae, KJ473386.1: Nosema ceranae, KJ473390.1: Nosema ceranae, KJ473391.1: Nosema ceranae, KJ473393.1: Nosema ceranae, KJ473394.1: Nosema ceranae, KJ473396.1: Nosema ceranae, KJ473398.1: Nosema ceranae, KJ473399.1: Nosema ceranae, KJ473400.1: Nosema ceranae, KJ473401.1: Nosema ceranae, KJ473403.1: Nosema ceranae, KJ473404.1: Nosema ceranae, KJ473405.1: Nosema ceranae, KJ473406.1: Nosema ceranae, KM001627.1: Nosema ceranae, KM001628.1: Nosema ceranae, KM001629.1: Nosema ceranae, KM001636.1: Nosema ceranae","RPB1 is incorrectly named as ""RNA polymerase II small subunit""."
KF527993.1,Eukaryota,Fungi,undetermined,undetermined,Mucorales,Mucoraceae,Mucor,Mucor sp. CS-P/F01,Not Available,ITS region*,621,"Mucor sp. CS-P/F01 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
