centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
EF025439.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Malaysia 2*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Malaysia 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
EF025440.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Palawan 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Palawan 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
EF025442.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Sri Lanka 2*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Sri Lanka 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2,EF025441.1: Tropilaelaps mercedesae,none
EF025443.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Sumatra 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Sumatra 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
EF025444.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Sumatra 2*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Sumatra 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",4,"EF025423.1: Tropilaelaps mercedesae, EF025424.1: Tropilaelaps mercedesae, EF025430.1: Tropilaelaps mercedesae",none
EF025447.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Vietnam 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Vietnam 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",21,"EF025431.1: Tropilaelaps mercedesae, EF025432.1: Tropilaelaps mercedesae, EF025433.1: Tropilaelaps mercedesae, EF025437.1: Tropilaelaps mercedesae, EF025438.1: Tropilaelaps mercedesae, EF025445.1: Tropilaelaps mercedesae, EF025446.1: Tropilaelaps mercedesae, EF025448.1: Tropilaelaps mercedesae, HQ533148.1: Tropilaelaps mercedesae, HQ533149.1: Tropilaelaps mercedesae, HQ533150.1: Tropilaelaps mercedesae, HQ533151.1: Tropilaelaps mercedesae, HQ533152.1: Tropilaelaps mercedesae, HQ533153.1: Tropilaelaps mercedesae, HQ533154.1: Tropilaelaps mercedesae, HQ533155.1: Tropilaelaps mercedesae, HQ533156.1: Tropilaelaps mercedesae, HQ533157.1: Tropilaelaps mercedesae, HQ533158.1: Tropilaelaps mercedesae, HQ533159.1: Tropilaelaps mercedesae",none
EF025452.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps thaii,TtVietnam 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps thaii haplotype TtVietnam 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
GQ379067.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,AcC2-1China-Kunming,cox1/cytochrome oxidase subunit I,1088,"Varroa destructor isolate AcC2-1China-Kunming cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial",3,"AF106898.1: Varroa destructor, KJ403742.1: Varroa destructor",none
GQ379061.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,AcV1-1Vietnam-Hanoi,cox1/cytochrome oxidase subunit I,1088,"Varroa destructor isolate AcV1-1Vietnam-Hanoi cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial",25,"AF010478.1: Varroa jacobsoni, AF106897.1: Varroa destructor, AF106900.1: Varroa destructor, AF106901.1: Varroa destructor, AJ784872.1: Varroa destructor, AY372063.1: Varroa destructor, GQ379056.1: Varroa destructor, GQ379059.1: Varroa destructor, GQ379060.1: Varroa destructor, GQ379064.1: Varroa destructor, GQ379065.1: Varroa destructor, GQ379066.1: Varroa destructor, GQ379068.1: Varroa destructor, GQ379069.1: Varroa destructor, HM242411.1: Varroa destructor, JX970939.1: Varroa destructor, KJ403739.1: Varroa destructor, KJ403744.1: Varroa destructor, KJ507741.1: Varroa destructor, KR528378.1: Varroa destructor, KR528379.1: Varroa destructor, KR528380.1: Varroa destructor, KR528382.1: Varroa destructor, KR528383.1: Varroa destructor",none
HM242397.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,Faridkot5,COI/cytochrome oxidase subunit I,665,"Varroa destructor isolate Faridkot5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",11,"GU724765.1: Varroa destructor, GU724768.1: Varroa destructor, HM242394.1: Varroa destructor, HM242399.1: Varroa destructor, HM242402.1: Varroa destructor, HM242408.1: Varroa destructor, HM242413.1: Varroa destructor, HM242415.1: Varroa destructor, HM641257.1: Varroa destructor, HM641258.1: Varroa destructor",none
GU724767.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,Ludhiana 3,COI/cytochrome oxidase subunit I,665,"Varroa destructor isolate Ludhiana 3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
KR528387.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,MC-1,COX1/cytochrome oxidase subunit 1,865,"Varroa destructor isolate MC-1 cytochrome oxidase subunit 1 (COX1) gene, partial cds; mitochondrial",2,KR528386.1: Varroa destructor,none
AF106896.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa destructor cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
JX970938.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,Serbia1-Belgrade,cox1/cytochrome oxidase subunit I,929,"Varroa destructor isolate Serbia1-Belgrade cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial",3,"KR528381.1: Varroa destructor, KR528385.1: Varroa destructor",none
JX827474.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa destructor,V13A,COI/cytochrome oxidase subunit I,429,"Varroa destructor isolate V13A cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
DQ061189.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,NorthThai1*,COI/cytochrome oxidase subunit I,328,"Varroa jacobsoni haplotype NorthThai1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
AF106902.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106903.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106904.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106905.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106906.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",2,DQ061188.1: Varroa jacobsoni,none
AF106908.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,CO-I/cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",4,"AF010479.1: Varroa jacobsoni, AF106909.1: Varroa jacobsoni, AF106910.1: Varroa jacobsoni",none
AY037890.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Not Available,cytochrome oxidase subunit I,458,"Varroa jacobsoni cytochrome oxidase subunit I gene, partial cds; mitochondrial gene for mitochondrial product",2,AF106907.1: Varroa jacobsoni,none
GQ387678.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,Vj_AcL1-1,cox1/cytochrome oxidase subunit 1,1010,"Varroa jacobsoni isolate Vj_AcL1-1 cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",2,DQ061190.1: Varroa jacobsoni,none
EF025469.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa jacobsoni,VjJava*,COI/cytochrome oxidase subunit I,538,"Varroa jacobsoni haplotype VjJava cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
AF107261.2,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa rindereri,Not Available,cytochrome oxidase subunit I,426,"Varroa rindereri cytochrome oxidase subunit I gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106894.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa sp. 'Luzon 1',Luzon 1,CO-I/cytochrome oxidase subunit I,458,"Varroa sp. &apos;Luzon 1&apos; cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106895.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa sp. 'Luzon 2',Luzon 2,CO-I/cytochrome oxidase subunit I,458,"Varroa sp. &apos;Luzon 2&apos; cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF106893.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa sp. 'Mindanao',Mindanao,CO-I/cytochrome oxidase subunit I,458,"Varroa sp. &apos;Mindanao&apos; cytochrome oxidase subunit I (CO-I) gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
AF107260.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa,Varroa underwoodi,Not Available,cytochrome oxidase subunit I,458,"Varroa underwoodi cytochrome oxidase subunit I gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
GQ916568.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis cf. externus*,B3-I7,cytochrome oxidase subunit I,378,"Acarapis dorsalis isolate B3-I7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",4,"HQ243435.1: Acarapis dorsalis, HQ243436.1: Acarapis dorsalis, HQ243438.1: Acarapis dorsalis","Accessioned incorrectly in GenBank as ""A. dorsalis""."
GQ916567.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis dorsalis,B3-I6,cytochrome oxidase subunit I,378,"Acarapis dorsalis isolate B3-I6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",6,"HQ243433.1: Acarapis dorsalis, HQ243434.1: Acarapis dorsalis, HQ243437.1: Acarapis dorsalis, HQ243439.1: Acarapis dorsalis, LC006085.1: Acarapis dorsalis",none
HQ162660.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis externus,B4G3,COI/cytochrome oxidase subunit I,679,"Acarapis externus isolate B4G3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",4,"AB634839.1: Acarapis externus, HQ162659.1: Acarapis externus, HQ162662.1: Acarapis externus",none
FJ603293.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis externus,P3-03-08-989,cytochrome oxidase subunit I,376,"Acarapis externus isolate P3-03-08-989 cytochrome oxidase subunit I gene, partial cds; mitochondrial",6,"AB638410.1: Acarapis externus, HQ243440.1: Acarapis externus, HQ243441.1: Acarapis externus, HQ243442.1: Acarapis externus, LC006083.1: Acarapis externus",none
GQ916566.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis sp.*,B3-I5,cytochrome oxidase subunit I,377,"Acarapis externus isolate B3-I5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",1,,"Accessioned incorrectly in GenBank as ""A. externus""."
HG967536.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis woodi,1431,COI/cytochrome oxidase subunit 1,178,"Acarapis woodi mitochondrial partial COI gene for cytochrome oxidase subunit 1, isolate 1431, clone 8",17,"HG967531.1: Acarapis woodi, HG967532.1: Acarapis woodi, HG967533.1: Acarapis woodi, HG967534.1: Acarapis woodi, HG967535.1: Acarapis woodi, HG967537.1: Acarapis woodi, HG967538.1: Acarapis woodi, HG967539.1: Acarapis woodi, HG967540.1: Acarapis woodi, HG967541.1: Acarapis woodi, HG967542.1: Acarapis woodi, HG967543.1: Acarapis woodi, HG967544.1: Acarapis woodi, HG967545.1: Acarapis woodi, HG967546.1: Acarapis woodi, HG967547.1: Acarapis woodi",none
HG967552.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis woodi,1953,COI/cytochrome oxidase subunit 1,178,"Acarapis woodi mitochondrial partial COI gene for cytochrome oxidase subunit 1, isolate 1953, clone 7",12,"HG967529.1: Acarapis woodi, HG967550.1: Acarapis woodi, HG967551.1: Acarapis woodi, HG967553.1: Acarapis woodi, HG967554.1: Acarapis woodi, HG967555.1: Acarapis woodi, HG967556.1: Acarapis woodi, HG967557.1: Acarapis woodi, HG967558.1: Acarapis woodi, HG967559.1: Acarapis woodi, HG967560.1: Acarapis woodi",none
HQ162656.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis woodi,B1G5,COI/cytochrome oxidase subunit I,678,"Acarapis woodi isolate B1G5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",7,"AB634837.1: Acarapis woodi, AB634838.1: Acarapis woodi, HF945444.1: Acarapis woodi, HF945445.1: Acarapis woodi, HF945447.1: Acarapis woodi, HG967561.1: Acarapis woodi",none
FJ603296.1,Eukaryota,Metazoa,Arthropoda,Arachnida,undetermined,Tarsonemidae,Acarapis,Acarapis woodi,P14P-A4D4D5,cytochrome oxidase subunit I,453,"Acarapis woodi isolate P14P-A4D4D5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",9,"AB638409.1: Acarapis woodi, EU190886.1: Acarapis woodi, FJ603294.1: Acarapis woodi, FJ603295.1: Acarapis woodi, GQ916565.1: Acarapis woodi, HM213853.1: Acarapis woodi, HM213854.1: Acarapis woodi, LC006084.1: Acarapis woodi",none
KT380624.1,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,1_Cal_It,COI/cytochrome oxidase subunit I,1091,"Aethina tumida isolate 1_Cal_It cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",10,"KT380629.1: Aethina tumida, KT380630.1: Aethina tumida, KT380631.1: Aethina tumida, KT380633.1: Aethina tumida, KT380635.1: Aethina tumida, KT380636.1: Aethina tumida, KT380637.1: Aethina tumida, KT380639.1: Aethina tumida, KT380640.1: Aethina tumida",none
KT380628.1,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,12_It,COI/cytochrome oxidase subunit I,1091,"Aethina tumida isolate 12_It cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2,KT380626.1: Aethina tumida,none
KT380625.1,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,53_Sic_It,COI/cytochrome oxidase subunit I,1091,"Aethina tumida isolate 53_Sic_It cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",6,"KT380627.1: Aethina tumida, KT380632.1: Aethina tumida, KT380634.1: Aethina tumida, KT380638.1: Aethina tumida, KT380641.1: Aethina tumida",none
HM056044.1,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,AfricCam3,cytochrome oxidase subunit I,757,"Aethina tumida isolate AfricCam3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",1,,none
KC966652.1,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,BYU CO352*,COI/cytochrome oxidase subunit I,1266,"Aethina tumida voucher BYU CO352 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",56,"AF227645.1: Aethina tumida, AF227646.1: Aethina tumida, AF227648.1: Aethina tumida, AF227649.1: Aethina tumida, AF227650.1: Aethina tumida, AF227651.1: Aethina tumida, AF227652.1: Aethina tumida, AF227653.1: Aethina tumida, AF227654.1: Aethina tumida, AF522354.1: Aethina tumida, AF522355.1: Aethina tumida, AF522356.1: Aethina tumida, AF522357.1: Aethina tumida, AF522358.1: Aethina tumida, HM056042.1: Aethina tumida, HM056043.1: Aethina tumida, HM056045.1: Aethina tumida, HM056046.1: Aethina tumida, HM056047.1: Aethina tumida, HM056048.1: Aethina tumida, HM056049.1: Aethina tumida, HM056050.1: Aethina tumida, HM056051.1: Aethina tumida, HM056052.1: Aethina tumida, HM056053.1: Aethina tumida, HM056054.1: Aethina tumida, HM056055.1: Aethina tumida, HM056056.1: Aethina tumida, HM056057.1: Aethina tumida, HM056058.1: Aethina tumida, HM056059.1: Aethina tumida, HM056060.1: Aethina tumida, HM056061.1: Aethina tumida, HM056062.1: Aethina tumida, HM056063.1: Aethina tumida, HM056064.1: Aethina tumida, HM056065.1: Aethina tumida, HM056066.1: Aethina tumida, HM056067.1: Aethina tumida, HM056068.1: Aethina tumida, HM056069.1: Aethina tumida, HM056070.1: Aethina tumida, HM056071.1: Aethina tumida, HM056072.1: Aethina tumida, HM056073.1: Aethina tumida, HM056074.1: Aethina tumida, HM056075.1: Aethina tumida, HM056076.1: Aethina tumida, HM056077.1: Aethina tumida, HM056078.1: Aethina tumida, HM056079.1: Aethina tumida, JX524553.1: Aethina tumida, JX524554.1: Aethina tumida, JX524555.1: Aethina tumida, KP134137.1: Aethina tumida",none
AF227647.1,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,SAJ2,cytochrome oxidase I,1038,"Aethina tumida strain SAJ2 cytochrome oxidase I gene, partial cds; mitochondrial gene for mitochondrial product",1,,none
KC177809.1,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Braulidae,Braula,Braula coeca,Not Available,28S ribosomal RNA,3946,"Braula coeca 28S ribosomal RNA gene, partial sequence",1,,none
JF798506.1,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Phoridae,Apocephalus,Apocephalus borealis,Not Available,COI/cytochrome oxidase subunit I,595,"Apocephalus borealis cytochrome oxidase subunit I (COI) gene, partial cds; tRNA-Leu (trnL) gene, complete sequence; and cytochrome oxidase subunit II (COII) gene, partial cds; mitochondrial",1,,none
GQ162109.1,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Not Available,mtDNA*,15895,"Apis cerana mitochondrion, complete genome",2,KM244704.1: Apis cerana,none
KT750964.1,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Galleria,Galleria mellonella,Not Available,mtDNA*,15320,"Galleria mellonella mitochondrion, complete genome",2,KF491750.1: Galleria mellonella,none
