centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
HM008724.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,uncultured Rothia sp.,Not Available,16S ribosomal RNA,1489,"Uncultured Rothia sp. clone AMW_E3 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
KJ741207.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. B4,B4,16S ribosomal RNA,1398,"Propionibacterium sp. B4 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis cerana gut.
KF600539.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Goodfellowiella,Goodfellowiella coeruleoviolacea,3403O2,16S ribosomal RNA,1252,"Goodfellowiella coeruleoviolacea strain 3403O2 16S ribosomal RNA gene, partial sequence",3,"KF600550.1: Goodfellowiella coeruleoviolacea, KF600572.1: Goodfellowiella coeruleoviolacea",Isolated from bee bread of Apis mellifera.
KF600580.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces atrovirens,3461CO2,16S ribosomal RNA,1251,"Streptomyces atrovirens strain 3461CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600537.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces diastaticus,3399O2,16S ribosomal RNA,1244,"Streptomyces diastaticus strain 3399O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600505.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces fumanus,3360O2,16S ribosomal RNA,1041,"Streptomyces fumanus strain 3360O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600405.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces globosus,B3_12YCO2,16S ribosomal RNA,1291,"Streptomyces globosus strain B3_12YCO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600532.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces iakyrus,3392O2,16S ribosomal RNA,1212,"Streptomyces iakyrus strain 3392O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600495.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lienomycini,3350O2,16S ribosomal RNA,1246,"Streptomyces lienomycini strain 3350O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600583.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces macrosporeus,3467CO2,16S ribosomal RNA,1217,"Streptomyces macrosporeus strain 3467CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600415.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces regensis,B3_1YO2,16S ribosomal RNA,1304,"Streptomyces regensis strain B3_1YO2 16S ribosomal RNA gene, partial sequence",2,KF600503.1: Streptomyces achromogenes,Isolated from bee bread of Apis mellifera.
KF600380.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3286O2,3286O2,16S ribosomal RNA,1234,"Streptomyces sp. 3286O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey food stores of Apis mellifera.
KF600494.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3349O2,3349O2,16S ribosomal RNA,1230,"Streptomyces sp. 3349O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600511.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3366O2,3366O2,16S ribosomal RNA,1222,"Streptomyces sp. 3366O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600516.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3371O2,3371O2,16S ribosomal RNA,1225,"Streptomyces sp. 3371O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600518.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3373O2,3373O2,16S ribosomal RNA,1234,"Streptomyces sp. 3373O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600520.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3377O2,3377O2,16S ribosomal RNA,1243,"Streptomyces sp. 3377O2 16S ribosomal RNA gene, partial sequence",2,KF600522.1: Streptomyces flaveolus,Isolated from bee bread of Apis mellifera.
KF600523.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3380O2,3380O2,16S ribosomal RNA,1235,"Streptomyces sp. 3380O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600527.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3385O2,3385O2,16S ribosomal RNA,1247,"Streptomyces sp. 3385O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600529.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3387O2,3387O2,16S ribosomal RNA,1245,"Streptomyces sp. 3387O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600540.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3404O2,3404O2,16S ribosomal RNA,1196,"Streptomyces sp. 3404O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600541.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3407O2,3407O2,16S ribosomal RNA,1247,"Streptomyces sp. 3407O2 16S ribosomal RNA gene, partial sequence",6,"KF600509.1: Streptomyces sp. 3364O2, KF600510.1: Streptomyces sp. 3365O2, KF600542.1: Streptomyces sp. 3408O2, KF600557.1: Streptomyces sp. 3428CO2, KF600558.1: Streptomyces sp. 3430CO2",Isolated from bee bread of Apis mellifera.
KF600551.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3420CO2,3420CO2,16S ribosomal RNA,1219,"Streptomyces sp. 3420CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600570.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3448CO2,3448CO2,16S ribosomal RNA,1248,"Streptomyces sp. 3448CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600571.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3449CO2,3449CO2,16S ribosomal RNA,1236,"Streptomyces sp. 3449CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600581.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3462CO2,3462CO2,16S ribosomal RNA,1246,"Streptomyces sp. 3462CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600584.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3475CO2,3475CO2,16S ribosomal RNA,1246,"Streptomyces sp. 3475CO2 16S ribosomal RNA gene, partial sequence",2,KF600524.1: Streptomyces sp. 3381O2,Isolated from bee bread of Apis mellifera.
AJ971845.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Am 03,Am 03,16S rRNA/16S ribosomal RNA,1393,"Streptomyces sp. Am 03 partial 16S rRNA gene, isolate Am 03",1,,Isolated from gut of Apis mellifera.
AJ971856.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Am 20,Am 20,16S rRNA/16S ribosomal RNA,1385,"Streptomyces sp. Am 20 partial 16S rRNA gene, isolate Am 20",1,,Isolated from gut of Apis mellifera.
NR_113156.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura apis,IM17-1,16S ribosomal RNA,1495,"Actinomadura apis strain IM17-1 16S ribosomal RNA gene, partial sequence",2,AB557596.1: Actinomadura apis,Isolated from Apis mellifera gut.
NR_113155.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura rifamycini,JCM 3309,16S ribosomal RNA,1486,"Actinomadura rifamycini strain JCM 3309 16S ribosomal RNA gene, partial sequence",2,AB557595.1: Actinomadura rifamycini,Isolated from Apis mellifera hive.
EF565935.1,Bacteria,undetermined,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. 549,549,16S ribosomal RNA,1417,"Chryseobacterium sp. 549 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera hive.
KM975636.1,Bacteria,undetermined,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratimimus,H8,16S ribosomal RNA,1000,"Myroides odoratimimus strain H8 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KJ638081.1,Bacteria,undetermined,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. AMHQH187,AMHQH187,16S ribosomal RNA,1118,"Deinococcus sp. AMHQH187 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692197.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML106A,16S ribosomal RNA,1489,"Bacillus amyloliquefaciens strain ML106A 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692198.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML106B,16S ribosomal RNA,1484,"Bacillus amyloliquefaciens strain ML106B 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692159.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML274,16S ribosomal RNA,1486,"Bacillus amyloliquefaciens strain ML274 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692203.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML323,16S ribosomal RNA,1484,"Bacillus amyloliquefaciens strain ML323 16S ribosomal RNA gene, partial sequence",2,KF863833.1: Bacillus sp. hb34,Isolated from honey.
KC692163.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML361,16S ribosomal RNA,1484,"Bacillus amyloliquefaciens strain ML361 16S ribosomal RNA gene, partial sequence",3,"KF863876.1: Bacillus sp. hb87, KF863889.1: Bacillus sp. hb107",Isolated from honey.
KC692189.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML376,16S ribosomal RNA,1486,"Bacillus amyloliquefaciens strain ML376 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692192.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML390,16S ribosomal RNA,1485,"Bacillus amyloliquefaciens strain ML390 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692171.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML451,16S ribosomal RNA,1487,"Bacillus amyloliquefaciens strain ML451 16S ribosomal RNA gene, partial sequence",4,"KF863893.1: Bacillus sp. hb114, KF863901.1: Bacillus sp. hb124, KJ638112.1: Bacillus amyloliquefaciens",Isolated from honey.
KC692174.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML456,16S ribosomal RNA,1489,"Bacillus amyloliquefaciens strain ML456 16S ribosomal RNA gene, partial sequence",5,"KC692168.1: Bacillus amyloliquefaciens, KF863868.1: Bacillus sp. hb77, KF863886.1: Bacillus sp. hb98, KJ638085.1: Bacillus subtilis",Isolated from honey.
KC692179.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,ML581,16S ribosomal RNA,1488,"Bacillus amyloliquefaciens strain ML581 16S ribosomal RNA gene, partial sequence",9,"KC692167.1: Bacillus amyloliquefaciens, KC692205.1: Bacillus amyloliquefaciens, KF863881.1: Bacillus sp. hb92, KF863885.1: Bacillus sp. hb97, KF863891.1: Bacillus sp. hb112, KF863894.1: Bacillus sp. hb115, KF863899.1: Bacillus sp. hb122, KF863904.1: Bacillus sp. RJ2",Isolated from honey.
KJ638084.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus aryabhattai,AMHQH235,16S ribosomal RNA,1202,"Bacillus aryabhattai strain AMHQH235 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
